experiment,run,capability_group,distribution,answer_format,accuracy,n,floor,ci_low,ci_high
02-lora-sft,02_lora_sft_v1,aggregation,ID,binary,0.8068181818181818,176,,0.7165895061728396,0.8910493827160493
02-lora-sft,02_lora_sft_v1,aggregation,ID,number,0.33203125,768,,0.28788400310073853,0.3840098909052813
02-lora-sft,02_lora_sft_v1,aggregation,ID,open_ended,0.09090909090909091,11,,0.5542454671262445,0.7167985071359546
02-lora-sft,02_lora_sft_v1,aggregation,OOD,binary,0.7481751824817519,548,,0.6496120869262317,0.8157426515370594
02-lora-sft,02_lora_sft_v1,aggregation,OOD,number,0.4917043740573152,1326,,0.4119426509811264,0.6057688887115223
02-lora-sft,02_lora_sft_v1,aggregation,OOD,open_ended,0.0,1,,0.5645254000102896,0.805240831324872
02-lora-sft,02_lora_sft_v1,object_recognition,ID,fo_class,0.5739130434782609,920,,0.5281028172067791,0.6677064354696344
02-lora-sft,02_lora_sft_v1,object_recognition,ID,multiple_choice,0.8,90,,0.640625,0.9167048229548229
02-lora-sft,02_lora_sft_v1,object_recognition,ID,open_ended,0.6083916083916084,286,,0.5542454671262445,0.7167985071359546
02-lora-sft,02_lora_sft_v1,object_recognition,OOD,fo_class,0.5948717948717949,1755,,0.5270182152913466,0.7132953702094564
02-lora-sft,02_lora_sft_v1,object_recognition,OOD,multiple_choice,0.7321428571428571,112,,0.42679713804713804,0.8375745356793743
02-lora-sft,02_lora_sft_v1,object_recognition,OOD,open_ended,0.6937984496124031,258,,0.5645254000102896,0.805240831324872
02-lora-sft,02_lora_sft_v1,temporal_grounding,ID,open_ended,1.0,1,,0.5542454671262445,0.7167985071359546
